Subject,Pre.SJ,Pre.F0,Pre.V0,Pre.P,Pre.FVimb,Post.SJ,Post.F0,Post.V0,Post.P,Post.FVimb,Det1.SJ,Det1.F0,Det1.V0,Det1.P,Det1.FVimb,Det2.SJ,Det2.F0,Det2.V0,Det2.P,Det2.FVimb,Det3.SJ,Det3.F0,Det3.V0,Det3.P,Det3.FVimb
1,0.331,24.44,5.11,31.20,66.80,0.420,39.23,3.00,29.43,9.14,0.422,38.79,3.04,29.48,11.31,0.419,38.78,3.03,29.38,11.06,0.417,38.48,3.05,29.36,12.36
2,0.266,24.34,5.06,30.82,71.03,0.352,40.33,2.77,27.91,10.18,0.354,40.12,2.78,27.88,11.02,0.348,39.81,2.76,27.52,11.19,0.348,39.76,2.78,27.61,11.73
3,0.287,25.10,3.66,22.96,51.83,0.383,36.76,2.89,26.57,10.37,0.383,36.68,2.91,26.65,11.05,0.379,36.42,2.90,26.38,11.41,0.382,36.38,2.92,26.58,12.23
4,0.290,28.35,4.02,28.48,58.09,0.340,41.50,2.70,27.98,8.52,0.341,40.83,2.75,28.06,11.71,0.338,40.59,2.74,27.82,11.97,0.338,40.59,2.74,27.82,11.97
5,0.271,24.94,4.10,25.58,60.60,0.341,37.76,2.73,25.81,10.47,0.341,37.18,2.78,25.84,13.27,0.337,36.83,2.77,25.48,13.72,0.335,36.61,2.76,25.26,13.97
6,0.364,30.92,4.92,38.00,63.46,0.458,49.08,3.14,38.58,9.49,0.460,48.43,3.20,38.78,12.36,0.460,48.66,3.19,38.86,11.71,0.457,48.35,3.20,38.63,12.28
7,0.308,33.67,3.51,29.52,46.42,0.342,44.40,2.69,29.88,7.98,0.345,44.05,2.75,30.32,10.84,0.338,43.02,2.77,29.80,13.39,0.335,42.76,2.77,29.60,13.80
8,0.294,27.04,4.46,30.15,63.41,0.331,40.01,2.70,26.98,10.04,0.335,39.39,2.76,27.22,13.60,0.330,39.34,2.74,26.94,12.92,0.326,38.86,2.75,26.77,14.44
9,0.364,35.51,3.80,33.70,46.11,0.394,45.78,2.93,33.49,9.84,0.396,45.46,2.96,33.60,11.41,0.393,45.21,2.95,33.38,11.74,0.390,44.87,2.96,33.18,12.48
10,0.300,23.81,5.36,31.91,70.96,0.344,37.49,2.73,25.57,9.59,0.345,37.17,2.76,25.62,11.28,0.342,36.90,2.76,25.47,12.03,0.340,36.30,2.80,25.44,14.77
11,0.285,23.91,4.31,25.79,61.95,0.332,35.37,2.70,23.84,10.02,0.333,34.94,2.74,23.90,12.45,0.331,34.93,2.72,23.76,11.98,0.327,34.14,2.77,23.65,15.55
12,0.316,28.86,3.71,26.76,49.58,0.347,38.38,2.75,26.34,9.38,0.349,38.20,2.77,26.45,10.60,0.347,37.80,2.78,26.29,11.94,0.343,37.09,2.82,26.15,14.76
13,0.287,25.61,3.79,24.28,54.29,0.320,35.22,2.63,23.20,9.62,0.320,34.90,2.66,23.19,11.22,0.317,34.59,2.67,23.05,12.28,0.315,33.82,2.72,23.02,16.05
14,0.280,24.27,4.14,25.14,60.33,0.324,35.49,2.64,23.41,9.02,0.323,35.13,2.66,23.35,10.64,0.321,34.85,2.67,23.23,11.64,0.319,34.37,2.69,23.14,13.73
15,0.312,28.52,3.74,26.64,50.53,0.347,38.27,2.73,26.13,9.16,0.347,37.70,2.78,26.18,12.02,0.345,37.41,2.79,26.07,12.96,0.343,36.92,2.82,26.00,15.05
16,0.321,28.58,4.14,29.56,56.80,0.360,39.94,2.81,28.08,10.99,0.358,39.70,2.81,27.94,11.57,0.357,39.18,2.85,27.92,13.84,0.355,38.88,2.86,27.81,14.78
17,0.316,27.47,3.68,25.28,48.77,0.359,36.57,2.80,25.60,10.34,0.358,36.31,2.82,25.56,11.46,0.358,35.96,2.84,25.56,13.16,0.357,35.85,2.85,25.52,13.54
18,0.330,31.85,3.50,27.86,42.93,0.362,40.30,2.79,28.10,9.43,0.362,39.94,2.82,28.12,11.14,0.359,39.87,2.80,27.93,10.78,0.359,39.51,2.83,27.95,12.47
19,0.314,30.43,3.01,22.87,29.79,0.340,35.16,2.73,23.96,10.36,0.338,34.86,2.74,23.84,11.48,0.337,34.72,2.74,23.78,11.96,0.335,34.63,2.73,23.65,11.98
20,0.290,31.30,2.94,23.01,32.08,0.330,38.25,2.64,25.26,7.53,0.324,38.18,2.60,24.85,6.35,0.323,37.80,2.63,24.81,8.09,0.321,37.58,2.63,24.66,8.59
21,0.332,31.41,3.32,26.05,37.69,0.379,39.16,2.87,28.10,10.35,0.381,39.20,2.88,28.22,10.49,0.379,38.78,2.90,28.11,12.09,0.376,38.59,2.89,27.91,12.32
22,0.339,30.91,3.43,26.50,39.80,0.365,37.98,2.81,26.66,9.71,0.367,37.61,2.86,26.85,12.05,0.364,37.58,2.84,26.67,11.59,0.363,37.21,2.86,26.59,13.08
23,0.368,35.23,3.55,31.24,39.14,0.385,42.55,2.88,30.68,9.48,0.386,42.44,2.90,30.75,10.17,0.383,42.22,2.90,30.56,10.49,0.379,41.08,2.96,30.36,14.66
24,0.301,31.55,3.13,24.73,36.73,0.322,37.94,2.65,25.18,10.21,0.323,37.83,2.67,25.23,10.90,0.321,37.65,2.67,25.14,11.42,0.319,37.49,2.66,24.90,11.32
25,0.320,35.98,3.11,27.94,32.45,0.343,42.54,2.71,28.84,8.67,0.343,42.00,2.76,28.96,11.35,0.341,41.62,2.76,28.67,12.01,0.338,41.50,2.74,28.44,11.76
26,0.336,32.21,2.99,24.05,25.10,0.351,35.83,2.75,24.59,9.27,0.352,35.54,2.78,24.72,11.15,0.350,35.37,2.78,24.57,11.52,0.349,35.10,2.80,24.57,12.84
27,0.360,34.13,3.07,26.21,23.73,0.380,37.93,2.86,27.12,8.95,0.380,37.66,2.88,27.11,10.21,0.377,37.47,2.88,26.96,10.60,0.377,37.17,2.90,26.97,12.06
